"0121","群馬県","安中市","松井田町峠"
"0104","長野県","北佐久郡軽井沢町","軽井沢東"
"0101","長野県","北佐久郡軽井沢町","峠町"
"0112","長野県","北佐久郡軽井沢町","中軽井沢"
"0111","長野県","北佐久郡軽井沢町","長倉"
"0113","長野県","北佐久郡軽井沢町","発地"
"0114","長野県","北佐久郡軽井沢町","茂沢"
"0200","長野県","北佐久郡御代田町",""
"0205","長野県","北佐久郡御代田町","面替"
"0202","長野県","北佐久郡御代田町","草越"
"0201","長野県","北佐久郡御代田町","塩野"
"0203","長野県","北佐久郡御代田町","広戸"
"0204","長野県","北佐久郡御代田町","豊昇"
"0207","長野県","北佐久郡御代田町","馬瀬口"
"0206","長野県","北佐久郡御代田町","御代田"
"0208","長野県","北佐久郡御代田町","茂沢"
"0600","長野県","埴科郡坂城町",""
"0604","長野県","埴科郡坂城町","網掛"
"0605","長野県","埴科郡坂城町","上平"
"0606","長野県","埴科郡坂城町","上五明"
"0601","長野県","埴科郡坂城町","坂城"
"0602","長野県","埴科郡坂城町","中之条"
"0603","長野県","埴科郡坂城町","南条"
"2300","長野県","下高井郡木島平村",""
"2302","長野県","下高井郡木島平村","往郷"
"2303","長野県","下高井郡木島平村","上木島"
"2301","長野県","下高井郡木島平村","穂高"
"2500","長野県","下高井郡野沢温泉村",""
"2501","長野県","下高井郡野沢温泉村","坪山"
"2502","長野県","下高井郡野沢温泉村","豊郷"
"2612","長野県","下高井郡野沢温泉村","七ケ巻"
"2611","長野県","下高井郡野沢温泉村","東大滝"
"2614","長野県","下高井郡野沢温泉村","平林"
"2503","長野県","下高井郡野沢温泉村","前坂"
"2613","長野県","下高井郡野沢温泉村","虫生"
"1300","長野県","上水内郡信濃町",""
"1311","長野県","上水内郡信濃町","荒瀬原"
"1316","長野県","上水内郡信濃町","大井"
"1305","長野県","上水内郡信濃町","柏原"
"1304","長野県","上水内郡信濃町","神山国際村"
"1301","長野県","上水内郡信濃町","熊坂"
"1312","長野県","上水内郡信濃町","富濃"
"1303","長野県","上水内郡信濃町","野尻"
"1306","長野県","上水内郡信濃町","野尻"
"1306","長野県","上水内郡信濃町","野尻大学村"
"1315","長野県","上水内郡信濃町","平岡"
"1313","長野県","上水内郡信濃町","古間"
"1302","長野県","上水内郡信濃町","古海"
"1314","長野県","上水内郡信濃町","穂波"
"1200","長野県","上水内郡飯綱町",""
"1203","長野県","上水内郡飯綱町","赤塩"
"1201","長野県","上水内郡飯綱町","芋川"
"1226","長野県","上水内郡飯綱町","川上"
"1205","長野県","上水内郡飯綱町","川谷"
"1204","長野県","上水内郡飯綱町","倉井"
"1214","長野県","上水内郡飯綱町","黒川"
"1227","長野県","上水内郡飯綱町","高坂"
"1215","長野県","上水内郡飯綱町","小玉"
"1225","長野県","上水内郡飯綱町","坂口"
"1224","長野県","上水内郡飯綱町","地蔵久保"
"1223","長野県","上水内郡飯綱町","袖之山"
"1212","長野県","上水内郡飯綱町","豊野"
"1202","長野県","上水内郡飯綱町","東柏原"
"1213","長野県","上水内郡飯綱町","平出"
"1206","長野県","上水内郡飯綱町","普光寺"
"1221","長野県","上水内郡飯綱町","古町"
"1211","長野県","上水内郡飯綱町","牟礼"
"1222","長野県","上水内郡飯綱町","柳里"
"2700","長野県","下水内郡栄村",""
"2703","長野県","下水内郡栄村","堺"
"2701","長野県","下水内郡栄村","豊栄"
"2702","長野県","下水内郡栄村","北信"
